Title,Rating,Price,Pages,Genre,Reviews,Review_Density,Price_Bucket,Popularity_Score,Success_Category
A Passage to India,3.5,1486,322,Fiction,16,0.05,Premium,3.27,Low
Constitution,4.4,726,378,Politics,7,0.019,Mid-range,3.59,Low
The discovery of India,4.5,779,582,Biography,11,0.019,Mid-range,3.79,Low
"China - Burma - India (Time-Life's World War II, Vol. 9)",3.1,376,208,Biography,1347,6.476,Budget,4.54,Low
The India Fan,4.5,146,445,Classic,2,0.004,Budget,3.31,Low
"Brief History of Modern India,A",4.0,1025,848,Religion,634,0.748,Premium,4.86,Medium
The Jungle Book,4.1,315,192,History,38,0.198,Budget,3.95,Low
India after Gandhi,4.3,329,893,Science,14,0.016,Budget,3.74,Low
India Alive,3.2,422,182,Philosophy,264,1.451,Mid-range,4.03,Low
India the Amazing,3.5,324,515,Classic,776,1.507,Budget,4.6,Low
The history of British India,5.0,1410,496,Politics,1,0.002,Premium,3.49,Low
India The Moonstone Fairy,3.5,145,80,History,4,0.05,Budget,2.84,Low
A history of India,5.0,1137,384,History,4,0.01,Premium,3.81,Low
India,3.5,732,200,Classic,2,0.01,Mid-range,2.66,Low
The Wisteria Society of Lady Scoundrels,4.8,474,418,Fiction,4,0.01,Mid-range,3.68,Low
Pakistan or partition of India,5.0,802,481,Philosophy,2,0.004,Mid-range,3.63,Low
"Eat, Pray, Love",3.5,1086,364,Self-Help,43,0.118,Premium,3.6,Low
The Book of Tea,4.3,432,70,Classic,13,0.186,Mid-range,3.72,Low
"The Prince of India, or Why the Constantinople Fell",3.8,265,440,Fiction,6,0.014,Budget,3.15,Low
The monumental India book,5.0,606,223,History,843,3.78,Mid-range,5.61,High
The sacred India book,3.3,216,223,Biography,1866,8.368,Budget,4.78,Low
Indian Penal Code,4.0,1042,564,Science,1455,2.58,Premium,5.15,Medium
The Complete Jungle Book,3.9,735,371,Fiction,19,0.051,Mid-range,3.58,Low
The men who ruled India,3.0,1427,368,History,2,0.005,Premium,2.33,Low
Private India,3.0,556,392,Biography,2,0.005,Mid-range,2.33,Low
The Secret Seven,4.2,968,127,Poetry,16,0.126,Premium,3.72,Low
The Land-systems Of British India,4.2,1394,654,Self-Help,1260,1.927,Premium,5.23,Medium
The Second Jungle Book,4.6,315,178,History,5,0.028,Budget,3.62,Low
India the Land,4.4,212,32,Biography,535,16.719,Budget,5.06,Medium
India's Struggle for Independence,3.0,1139,600,Politics,1,0.002,Premium,2.19,Low
U.P. land laws,5.0,315,354,Politics,1,0.003,Budget,3.49,Low
The India book,4.1,526,314,Fiction,493,1.57,Mid-range,4.84,Medium
ALL INDIA Book One by Giuseppe Potente,3.0,1258,350,Poetry,55,0.157,Premium,3.36,Low
Venus in India,3.7,1166,252,Fiction,1430,5.675,Premium,4.95,Medium
India unbound,3.0,863,420,Classic,6,0.014,Mid-range,2.63,Low
"With Clive in India, or, The beginnings of an empire",4.0,383,378,Fiction,1,0.003,Budget,2.84,Low
Constitution of India,4.0,933,838,Politics,1812,2.162,Premium,5.23,Medium
India Book of Records,3.2,1221,186,Fiction,1754,9.43,Premium,4.69,Low
The Brown Fairy Book,3.7,1183,244,Fiction,849,3.48,Premium,4.77,Low
India book,3.1,329,91,Politics,1112,12.22,Budget,4.47,Low
The Stamp specialist India book,3.2,484,142,Classic,2433,17.134,Mid-range,4.81,Medium
India Book of Life,3.8,258,64,Fiction,1205,18.828,Budget,4.95,Medium
The case for India,5.0,923,230,Politics,1,0.004,Premium,3.49,Low
Nehru,3.0,570,272,Politics,1,0.004,Mid-range,2.19,Low
10 judgements that changed India,3.3,307,249,Classic,1782,7.157,Budget,4.77,Low
A Brief History of Modern India,5.0,273,1016,Science,1,0.001,Budget,3.49,Low
White Mughals,4.1,1204,512,Biography,964,1.883,Premium,5.07,Medium
Mister Isaacs,3.0,1141,318,History,3,0.009,Premium,2.44,Low
50 Great Curries of India,4.4,1116,192,Poetry,1531,7.974,Premium,5.43,Medium
The idea of India,4.6,807,263,Politics,450,1.711,Mid-range,5.13,Medium
D.M. Silveira's India book,3.4,1414,470,Self-Help,2042,4.345,Premium,4.88,Medium
The League of Gentlewomen Witches,4.0,1483,426,Fiction,3,0.007,Premium,3.09,Low
The thrift book,3.3,1402,272,Self-Help,878,3.228,Premium,4.52,Low
Gandhi before India,3.2,1074,672,Politics,249,0.371,Premium,4.01,Low
Rainedrops Journey to India,4.3,496,151,Self-Help,2437,16.139,Mid-range,5.52,High
The wonder that was India,5.0,1073,568,History,2,0.004,Premium,3.63,Low
Disney's The jungle book,4.3,865,45,Fiction,3,0.067,Mid-range,3.28,Low
A taste of India,4.4,1265,255,Self-Help,197,0.773,Premium,4.71,Low
Cloud Computing Black Book,3.1,776,780,Politics,1453,1.863,Mid-range,4.56,Low
All India book trade directory,4.9,616,774,Science,1633,2.11,Mid-range,5.77,High
Signed the Monumental India Book,3.1,1374,224,Philosophy,1783,7.96,Premium,4.64,Low
Arithmetics For India Book IV,4.1,761,146,Poetry,1794,12.288,Mid-range,5.29,Medium
Constitutional Law of India,4.4,1360,100,Politics,994,9.94,Premium,5.28,Medium
Our Constitution,5.0,1255,315,Politics,1,0.003,Premium,3.49,Low
Inglorious Empire,4.5,405,336,History,2,0.006,Mid-range,3.31,Low
"The great mutiny, India 1857",4.0,457,472,History,1,0.002,Mid-range,2.84,Low
Full tilt,3.0,1408,244,History,1,0.004,Premium,2.19,Low
The Immortals of Meluha,3.8,1416,416,Religion,42,0.101,Premium,3.79,Low
India Wins Freedom,3.0,1286,278,Philosophy,1,0.004,Premium,2.19,Low
British India,4.7,518,399,History,101,0.253,Mid-range,4.67,Low
"All India book trade directory, 1979",4.4,741,768,History,865,1.126,Mid-range,5.23,Medium
Advanced Study in the History of Medieval India Vol. 2,3.0,606,582,Self-Help,3,0.005,Mid-range,2.44,Low
Doabia's election manual,4.6,1485,331,History,1236,3.734,Premium,5.48,Medium
Astérix chez Rahãzade,3.0,411,48,Classic,2,0.042,Mid-range,2.33,Low
The archaeology of India,3.7,803,294,Classic,637,2.167,Mid-range,4.67,Low
India book of the year.,4.6,344,694,History,2283,3.29,Budget,5.7,High
Education in ancient India,5.0,576,386,History,1,0.003,Mid-range,3.49,Low
Buddhist India,3.2,714,332,History,2357,7.099,Mid-range,4.8,Low
Chasing the monsoon,5.0,535,273,Fiction,1,0.004,Mid-range,3.49,Low
India Traders of the Middle Ages,4.8,349,899,Biography,464,0.516,Budget,5.27,Medium
Guitar Atlas,4.1,1145,48,Fiction,942,19.625,Premium,5.06,Medium
Longman's Explicit Arithmetics For India Book 2,4.6,576,106,Religion,212,2.0,Mid-range,4.87,Medium
West Bengal civil rules and orders,3.9,610,201,Politics,1682,8.368,Mid-range,5.13,Medium
India's Glorious Scientific Tradition,3.0,1459,546,History,1,0.002,Premium,2.19,Low
Our Parliament,3.0,873,327,Poetry,2,0.006,Mid-range,2.33,Low
Planning for increasing India's book exports,4.3,1465,112,Biography,308,2.75,Premium,4.8,Low
Mandala,4.1,1461,376,Fiction,1187,3.157,Premium,5.14,Medium
Historic India,4.5,1023,192,Science,1450,7.552,Premium,5.47,Medium
Muslim politics in secular India,3.0,1165,160,Politics,1,0.006,Premium,2.19,Low
Snakes of India,3.7,173,481,Biography,3,0.006,Budget,2.89,Low
Costumes and Textiles of Royal India,4.0,908,348,Religion,1,0.003,Premium,2.84,Low
Nationalism and colonialism in modern India,3.2,930,395,Poetry,1854,4.694,Premium,4.71,Low
Castes in India,5.0,1145,32,Biography,1,0.031,Premium,3.49,Low
